P,PET,logE,logK
997.4574468085108,1030.3965957446808,-3.888905589490664,-2.5606673061697376
980.983264786452,807.1580123158822,-3.9877473506049084,-3.51427857351842
250.31246262320505,1801.635794602976,-5.38391939452809,-3.149966742310231
1393.5090909090911,923.169696969697,-3.946230310400691,-0.9956786262173574
2299.1323529411766,1142.7134117647058,-3.8610660597430764,-3.149966742310231
1130.8430083376245,766.3357459489663,-3.6980916449284793,-2.39040559077478
400.4866108786611,1246.2256066945608,-4.0245151700849755,-3.149966742310231
582.4302504816956,1668.5601156069365,-4.950861493251871,-2.213958789757446
872.2717703467538,931.9205901979684,-3.99405283703919,-3.149966742310231
555.875487316422,1066.6542056074768,-4.28576807890251,-3.51427857351842
1222.9096805421104,986.6662536302032,-5.138167002342056,-2.5128616245228135
664.0948717948718,1038.515323076923,-5.017936554595249,-3.51427857351842
1204.7746350364964,996.17299270073,-4.134244775928549,-2.5606673061697376
1023.0454833597464,775.8735974643423,-4.0897968312353825,-2.5606673061697376
1919.3402298850576,748.5910344827586,-4.24582372578646,-3.51427857351842
836.9835789279795,1198.892608215141,-3.843611388227068,-2.39040559077478
1837.986363636364,657.8045454545454,-3.0778122290579493,-3.51427857351842
1268.059090909091,798.3490909090909,-3.403962166494885,-3.338187314462739
952.099711815562,783.7770605187321,-4.122631901502741,-2.5606673061697376
711.6096446700508,1330.9918781725887,-5.096783105322643,-2.5128616245228135
2415.2961802902983,1399.242627960275,-3.8907900146705905,-2.39040559077478
751.8802372607172,1138.9528066864384,-5.143670952564668,-2.39040559077478
809.1437500000001,717.4355,-4.610007474908235,-3.51427857351842
2079.423261117446,1219.8445381984038,-3.8610660597430764,-3.149966742310231
1774.777397260274,1525.8230136986303,-4.66585747341612,-3.51427857351842
1299.0513966480448,1088.4248044692738,-4.084417735895074,-3.149966742310231
486.486130462318,1309.8405066497785,-4.716459096243275,-3.149966742310231
1888.447881040892,1092.9376951672862,-4.7650611122585875,-3.51427857351842
614.5587132509587,746.9029228802727,-4.569197162136372,-3.338187314462739
1054.7466559871846,865.0789907889468,-3.585793590125172,-2.39040559077478
1047.9793442966377,1564.2533696449143,-5.184023633981655,-3.338187314462739
3228.625219659528,1218.388154859967,-3.719367468296195,-3.51427857351842
456.2807735956119,1406.7515226026103,-5.344449976642345,-2.213958789757446
